Task,Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Training_Time_sec,Prediction_Time_sec,Train_Size,Test_Size,CV_Mean_Accuracy,CV_Std,CV_Fold_1,CV_Fold_2,CV_Fold_3,CV_Fold_4,CV_Fold_5,CV_Time_sec
risk,SVM,0.6666666666666666,0.6674598743671039,0.6735718227060732,0.6673841658795839,0.6579297491833329,0.6666666666666666,0.659142407499002,1.4219617000017024,0.058881600001768675,968,243,0.6647518960650274,0.024671840392058254,0.6502057613168725,0.6363636363636364,0.6487603305785123,0.6900826446280992,0.6983471074380165,3.3010949000017717
risk,Logistic Regression,0.6707818930041153,0.6770723665690703,0.6745874895187041,0.6733154690123114,0.6686525265707897,0.6707818930041153,0.6672640558838457,0.485724800000753,0.04772500000035507,968,243,0.6713464612454512,0.020663085295471992,0.6707818930041153,0.6446280991735537,0.6528925619834711,0.6900826446280992,0.6983471074380165,3.4537033999986306
risk,Random Forest,0.5802469135802469,0.5967857022204848,0.5787972503461118,0.5758145315500489,0.5876338647138433,0.5802469135802469,0.5720024142133878,2.0631595000013476,0.30135730000256444,968,243,0.6250790735639221,0.03365153016407407,0.654320987654321,0.5950413223140496,0.5867768595041323,0.6157024793388429,0.6735537190082644,9.375319099999615
emotion,SVM,0.6865671641791045,0.748639455782313,0.6837773337773337,0.6974227803644144,0.723572613124852,0.6865671641791045,0.6871567447576588,0.32259069999781786,0.01531040000190842,267,67,0.6918588873812753,0.05200196535201382,0.7313432835820896,0.6417910447761194,0.6716417910447762,0.6417910447761194,0.7727272727272727,1.6180099000011978
emotion,Logistic Regression,0.6716417910447762,0.7315982263350685,0.6727883227883228,0.6860498045371995,0.7053155276250328,0.6716417910447762,0.6726516094382644,0.145590699998138,0.00904630000150064,267,67,0.6888285843509724,0.04552593227376432,0.7164179104477612,0.6567164179104478,0.6865671641791045,0.6268656716417911,0.7575757575757576,0.9870632999991358
emotion,Random Forest,0.6268656716417911,0.7261904761904762,0.6231851481851481,0.6423315309029595,0.6978343576236464,0.6268656716417911,0.6320964165740284,1.4619171999984246,0.1812091000028886,267,67,0.6620081411126186,0.07604233056267229,0.7313432835820896,0.582089552238806,0.5970149253731343,0.6268656716417911,0.7727272727272727,6.96637120000014
problem,SVM,0.6428571428571429,0.6961880711880711,0.6447089947089948,0.6409471902225525,0.6909632034632034,0.6428571428571429,0.6383097096140575,0.3422138999994786,0.021998699998221127,279,70,0.6960248447204969,0.044931524185907165,0.7142857142857143,0.7,0.7285714285714285,0.7285714285714285,0.6086956521739131,2.0450746999995317
problem,Logistic Regression,0.6285714285714286,0.6722222222222222,0.6371252204585538,0.6393691205072279,0.6602380952380953,0.6285714285714286,0.6276469876488144,0.14978350000092178,0.012027500000840519,279,70,0.7018219461697722,0.034962661257848415,0.7142857142857143,0.7,0.7428571428571429,0.7142857142857143,0.6376811594202898,0.9960320000027423
problem,Random Forest,0.5714285714285714,0.7060846560846561,0.5694003527336862,0.5903842345018816,0.6782312925170066,0.5714285714285714,0.5753259485612428,1.3797512000019196,0.21514899999965564,279,70,0.6043892339544514,0.04757517107225511,0.6428571428571429,0.5857142857142857,0.5857142857142857,0.6714285714285714,0.5362318840579711,6.538952499999141
support_need,SVM,0.7380952380952381,0.7827380952380952,0.7450396825396827,0.7576171377641967,0.7704081632653063,0.7380952380952381,0.7482556659027246,0.1820402000012109,0.010800299998663832,168,42,0.6857142857142857,0.0645936188869073,0.6428571428571429,0.6904761904761905,0.7142857142857143,0.5952380952380952,0.7857142857142857,1.5173995000004652
